countrycode,WPP_region_name,WPP_code,WPP_region_number
AUS,Australia and New Zealand,WPP_AUS,1
CXR,Australia and New Zealand,WPP_AUS,1
CCK,Australia and New Zealand,WPP_AUS,1
HMD,Australia and New Zealand,WPP_AUS,1
NZL,Australia and New Zealand,WPP_AUS,1
NFK,Australia and New Zealand,WPP_AUS,1
AIA,Caribbean,WPP_CAR,2
ATG,Caribbean,WPP_CAR,2
ABW,Caribbean,WPP_CAR,2
BHS,Caribbean,WPP_CAR,2
BRB,Caribbean,WPP_CAR,2
BES,Caribbean,WPP_CAR,2
CYM,Caribbean,WPP_CAR,2
CUB,Caribbean,WPP_CAR,2
CUW,Caribbean,WPP_CAR,2
DMA,Caribbean,WPP_CAR,2
DOM,Caribbean,WPP_CAR,2
GRD,Caribbean,WPP_CAR,2
GLP,Caribbean,WPP_CAR,2
HTI,Caribbean,WPP_CAR,2
JAM,Caribbean,WPP_CAR,2
MTQ,Caribbean,WPP_CAR,2
MSR,Caribbean,WPP_CAR,2
PRI,Caribbean,WPP_CAR,2
BLM,Caribbean,WPP_CAR,2
KNA,Caribbean,WPP_CAR,2
LCA,Caribbean,WPP_CAR,2
MAF,Caribbean,WPP_CAR,2
VCT,Caribbean,WPP_CAR,2
SXM,Caribbean,WPP_CAR,2
TTO,Caribbean,WPP_CAR,2
TCA,Caribbean,WPP_CAR,2
VGB,Caribbean,WPP_CAR,2
VIR,Caribbean,WPP_CAR,2
BLZ,Central America,WPP_CAM,3
CRI,Central America,WPP_CAM,3
SLV,Central America,WPP_CAM,3
GTM,Central America,WPP_CAM,3
HND,Central America,WPP_CAM,3
MEX,Central America,WPP_CAM,3
NIC,Central America,WPP_CAM,3
PAN,Central America,WPP_CAM,3
KAZ,Central Asia,WPP_CAS,4
KGZ,Central Asia,WPP_CAS,4
TJK,Central Asia,WPP_CAS,4
TKM,Central Asia,WPP_CAS,4
UZB,Central Asia,WPP_CAS,4
IOT,Eastern Africa,WPP_EAF,5
BDI,Eastern Africa,WPP_EAF,5
COM,Eastern Africa,WPP_EAF,5
DJI,Eastern Africa,WPP_EAF,5
ERI,Eastern Africa,WPP_EAF,5
