name,iso3,continent,patterns.area,patterns.gdp.2000,patterns.pop.2000,patterns.gdp.2100,patterns.pop.2100,scenario,source,source.id
Aruba,ABW,South America,0.637426555,0.637426555,0.637426555,0.637426555,0.637426555,ssp1,BCC-CSM2-MR,1
Afghanistan,AFG,Eurasia,1.469091892,1.473620892,1.479092836,1.479440928,1.475198388,ssp1,BCC-CSM2-MR,1
Angola,AGO,Africa,1.007206559,0.961168945,0.957031608,1.013076425,0.991484046,ssp1,BCC-CSM2-MR,1
Anguilla,AIA,South America,0.575776398,0.575776398,0.575776398,0.575776398,0.575776458,ssp1,BCC-CSM2-MR,1
Aland,ALA,Eurasia,1.037433624,1.037433743,1.037433624,1.037433624,1.037433624,ssp1,BCC-CSM2-MR,1
Albania,ALB,Eurasia,1.366242528,1.351114035,1.374653578,1.332988858,1.351286173,ssp1,BCC-CSM2-MR,1
Andorra,AND,Eurasia,1.333404541,1.305018187,1.316771746,1.28957653,1.306809425,ssp1,BCC-CSM2-MR,1
United Arab Emirates,ARE,Eurasia,1.20026052,1.126976013,1.098070264,1.065018058,1.088032603,ssp1,BCC-CSM2-MR,1
Argentina,ARG,South America,0.913885117,0.918057978,0.914581537,0.902153134,0.91103667,ssp1,BCC-CSM2-MR,1
Armenia,ARM,Eurasia,1.432157397,1.444581509,1.447880626,1.446533084,1.446422338,ssp1,BCC-CSM2-MR,1
Ashmore and Cartier Is.,Ashm,Australia,0.737800539,0.737800539,0.737800539,0.737800539,0.737800539,ssp1,BCC-CSM2-MR,1
American Samoa,ASM,Australia,0.651671827,0.651671827,0.651671827,0.651671827,0.651671827,ssp1,BCC-CSM2-MR,1
Fr. S. and Antarctic Lands,ATF,NA,0.731103063,0.731103063,0.731103063,0.731103063,0.731103063,ssp1,BCC-CSM2-MR,1
Antigua and Barb.,ATG,South America,0.554400563,0.554400563,0.554400623,0.554400563,0.554400563,ssp1,BCC-CSM2-MR,1
Australia,AUS,Australia,1.075381517,0.863430381,0.842851341,0.84606868,0.858505547,ssp1,BCC-CSM2-MR,1
Austria,AUT,Eurasia,1.280133843,1.284318924,1.284228444,1.283070207,1.283483982,ssp1,BCC-CSM2-MR,1
Azerbaijan,AZE,Eurasia,1.272397876,1.263858914,1.2821877,1.274568319,1.26591444,ssp1,BCC-CSM2-MR,1
Burundi,BDI,Africa,1.182319403,1.182581186,1.178859591,1.174500346,1.173997045,ssp1,BCC-CSM2-MR,1
Belgium,BEL,Eurasia,0.986360848,0.962997198,0.96348083,0.958446562,0.960051298,ssp1,BCC-CSM2-MR,1
Benin,BEN,Africa,1.154861093,0.933872461,0.995922029,0.996896565,1.01826787,ssp1,BCC-CSM2-MR,1
Burkina Faso,BFA,Africa,1.349702716,1.37869525,1.381745458,1.361307025,1.358437061,ssp1,BCC-CSM2-MR,1
Bangladesh,BGD,Eurasia,1.184130549,1.233045697,1.234025002,1.218610883,1.218698978,ssp1,BCC-CSM2-MR,1
Bulgaria,BGR,Eurasia,1.386278987,1.387755513,1.389273763,1.383988023,1.380064845,ssp1,BCC-CSM2-MR,1
Bahrain,BHR,Eurasia,1.073177576,1.073177576,1.073177576,1.073177695,1.073177576,ssp1,BCC-CSM2-MR,1
Bahamas,BHS,South America,0.749933243,0.750473559,0.750473619,0.750473022,0.750472188,ssp1,BCC-CSM2-MR,1
Bosnia and Herz.,BIH,Eurasia,1.386825442,1.374667168,1.377058983,1.367594004,1.370183587,ssp1,BCC-CSM2-MR,1
St. Barthelemy,BLM,Eurasia,0.56528163,0.565281689,0.565281689,0.56528163,0.56528163,ssp1,BCC-CSM2-MR,1
Belarus,BLR,Eurasia,1.205721855,1.196015358,1.195994496,1.196579576,1.193925977,ssp1,BCC-CSM2-MR,1
