countrycode,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
ABW,0.016241421,0.029788099,0.038527019,0.050470842,0.061949769,0.07834761,0.095438485,0.125268017,0.161098059,0.362865088
AFG,0.034267845,0.05199943,0.060172516,0.072117182,0.081715117,0.095633577,0.107501222,0.128953088,0.147842923,0.255327967
AGO,0.016534589,0.030198519,0.038959591,0.050934649,0.062405681,0.07878536,0.095796725,0.125481172,0.160950606,0.360256862
ALB,0.041722674,0.059889492,0.067137881,0.078454188,0.086897286,0.099482512,0.109305593,0.127811604,0.141848839,0.228095274
ARE,0.024315876,0.040408032,0.049293282,0.061621869,0.072518917,0.088045559,0.102808931,0.128692303,0.155776998,0.304204009
ARG,0.022420179,0.038029661,0.046954681,0.059267012,0.070354854,0.086139093,0.10146254,0.128252334,0.157189375,0.315943555
ARM,0.038543416,0.056596358,0.064270963,0.075881424,0.084828572,0.097988356,0.108667543,0.128392052,0.14438813,0.238972286
AUS,0.033013809,0.05061148,0.058912124,0.070939009,0.080720068,0.094856197,0.107079981,0.129058432,0.148860026,0.260563317
AUT,0.045336735,0.063515145,0.070230349,0.081173867,0.089029623,0.10095701,0.109836655,0.127022346,0.139007586,0.21683895
AZE,0.068106032,0.08400485,0.08654317,0.094553988,0.098596066,0.106466818,0.110111977,0.120329393,0.12254685,0.164302635
BDI,0.026455824,0.043020712,0.051818341,0.064124421,0.074778711,0.08998976,0.104120678,0.129003169,0.154122165,0.292061828
BEL,0.045415849,0.063593186,0.070296194,0.081231148,0.089073915,0.100986879,0.109846229,0.127003761,0.138946001,0.216604385
BEN,0.015882241,0.029282284,0.037991902,0.049895161,0.061381897,0.077800007,0.094987309,0.124994321,0.16127122,0.366125212
BFA,0.01960678,0.034377379,0.043284815,0.055497707,0.066815327,0.082931011,0.099076893,0.127240235,0.15914086,0.335421742
BGD,0.028265385,0.04517488,0.053867156,0.066124979,0.076555347,0.09148341,0.105082001,0.129138095,0.152689608,0.28258727
BGR,0.027633487,0.044428145,0.053160251,0.065437732,0.07594803,0.090976369,0.104760465,0.129103002,0.153192504,0.285819618
BHR,0.024315876,0.040408032,0.049293282,0.061621869,0.072518917,0.088045559,0.102808931,0.128692303,0.155776998,0.304204009
BHS,0.022750057,0.038448078,0.047368948,0.059686794,0.070743289,0.086484426,0.101710579,0.128341406,0.15694817,0.313827606
BIH,0.035868278,0.053743969,0.061741444,0.073570217,0.082928911,0.096565961,0.107983937,0.128777017,0.146546193,0.248949235
BLR,0.026920686,0.043578762,0.052351917,0.064647998,0.075246258,0.09038587,0.104379735,0.129048147,0.153756509,0.289562835
BLZ,0.012690702,0.024630391,0.032960893,0.044375212,0.055823669,0.07230432,0.090282266,0.121832971,0.162338806,0.398758227
BOL,0.012977214,0.025060503,0.033434775,0.044903698,0.056364796,0.072850079,0.090763324,0.122179489,0.162285878,0.395519636
BRA,0.009627344,0.019848806,0.027558965,0.038215958,0.049372298,0.065621743,0.084162774,0.117040583,0.162073552,0.43853984
BRB,0.018644815,0.033091757,0.041969086,0.054123733,0.065501964,0.081713217,0.098135203,0.126773767,0.159752184,0.342747822
BRN,0.020281841,0.035267955,0.04418879,0.056434712,0.0677039,0.083746609,0.099696812,0.127528045,0.158692634,0.330496718
BTN,0.021434023,0.036766886,0.045696882,0.057985431,0.069161835,0.085070034,0.100683551,0.127951408,0.157896698,0.322468018
BWA,0.004976183,0.01172714,0.017692334,0.02622812,0.035986193,0.05070719,0.069097698,0.102857913,0.155434753,0.529762716
CAF,0.006934349,0.015305774,0.022165123,0.031794073,0.04234686,0.057974163,0.076671833,0.110361085,0.159728453,0.484731037
CAN,0.043523913,0.061711561,0.068700227,0.079835393,0.08798735,0.100245044,0.109593932,0.1274335,0.140426114,0.22234899
CHE,0.037922446,0.0559411,0.063693736,0.075357425,0.084401258,0.097672455,0.108521662,0.12849063,0.144887639,0.24121665
CHL,0.011226689,0.022389152,0.030460488,0.041555774,0.052903975,0.06932015,0.087600931,0.119816704,0.162427446,0.416484332
CHN,0.019388723,0.034087688,0.042989459,0.055190331,0.066522586,0.082660835,0.098869612,0.127140498,0.159282411,0.337049783
CIV,0.016115748,0.029611496,0.038340438,0.05027036,0.061752256,0.078157443,0.095282184,0.125173854,0.16115961,0.363997551
CMR,0.016442913,0.030070409,0.038824721,0.050790189,0.062263834,0.078649344,0.095685647,0.125415481,0.160997286,0.361067493
COD,0.016864018,0.030657149,0.039441274,0.051449491,0.062910089,0.079267703,0.096188928,0.125710175,0.16077875,0.357380515
COG,0.019032681,0.033612514,0.04250359,0.054683363,0.066038402,0.082212379,0.098523478,0.126970199,0.159509873,0.339748628
COL,0.011476581,0.022777079,0.030897112,0.042051923,0.053421808,0.069854268,0.088087069,0.120192487,0.162436326,0.41330841
COM,0.00709562,0.015588884,0.022509838,0.032213449,0.042815517,0.058496507,0.077199331,0.110856994,0.159958319,0.481542654
CPV,0.012745057,0.024712194,0.033051165,0.044476027,0.055927044,0.072408757,0.090374549,0.12189982,0.162329564,0.398138448
CRI,0.022232082,0.037790194,0.046717034,0.059025685,0.070131025,0.085939486,0.101318359,0.128199015,0.157325929,0.317164663
CUB,0.045845222,0.06401577,0.070652219,0.081540417,0.0893126,0.10114729,0.109896758,0.12690201,0.138612245,0.245878287
CYP,0.036668628,0.054605508,0.062510088,0.074276622,0.083513602,0.097008655,0.108203881,0.128673027,0.145898997,0.220325926
CZE,0.044179484,0.062367222,0.069258345,0.08032524,0.088370418,0.100508711,0.109686979,0.12728816,0.139911528,0.233353188
DEU,0.040149688,0.058272815,0.06573748,0.077203661,0.0858979,0.098768135,0.109011758,0.128113792,0.143101093,0.37587866
DJI,0.014853951,0.027815375,0.036427221,0.048199499,0.059696381,0.076159378,0.093615845,0.124128352,0.161716087,0.215339666
DNK,0.050971836,0.068940921,0.074737977,0.085034793,0.091955481,0.102857128,0.110329285,0.125585025,0.134693252,0.201242461
DOM,0.01341629,0.025714558,0.034151854,0.04569994,0.057176459,0.073664381,0.091475588,0.122683471,0.162185516,0.390688025
DZA,0.024914644,0.041146512,0.050011567,0.062337947,0.073169753,0.088610472,0.103196736,0.128797569,0.155319381,0.300695542
ECU,0.027206304,0.043920016,0.052677227,0.064966322,0.075529626,0.090624896,0.104534647,0.129072132,0.153530968,0.288050278
EGY,0.02994889,0.047136727,0.055708002,0.067899895,0.078109171,0.092763469,0.105870398,0.129174708,0.151339549,0.274344131
ERI,0.015468685,0.028695737,0.037368568,0.04922187,0.060714938,0.077153533,0.094450393,0.124661252,0.161459655,0.369970678
ESP,0.037300574,0.05528079,0.063109744,0.074825235,0.083965226,0.097347649,0.108368023,0.128583964,0.145388825,0.243506538
EST,0.032548779,0.050091943,0.058437516,0.070492839,0.080340732,0.09455684,0.106913498,0.12908956,0.149237113,0.262561158
ETH,0.02670007,0.04331433,0.052099331,0.064400372,0.075025358,0.090198989,0.104257875,0.129027732,0.153930272,0.290742999
FIN,0.048170501,0.06627667,0.072542238,0.08316942,0.090557152,0.101968089,0.110130307,0.126326569,0.136819307,0.208724928
FJI,0.016479541,0.030121619,0.038878651,0.05084797,0.062320586,0.078703783,0.09573013,0.125441832,0.160978697,0.360743071
FRA,0.0434842,0.061671716,0.068666241,0.079805504,0.087963916,0.100228841,0.109588098,0.127442177,0.140457343,0.222472681
GAB,0.017035672,0.03089507,0.039690455,0.051715158,0.063169684,0.079515134,0.096389078,0.125825239,0.160686742,0.355903942
GBR,0.034497787,0.052251898,0.060400615,0.072329363,0.081893289,0.09577155,0.107574248,0.128930553,0.147656473,0.254391205
GEO,0.02333029,0.03917933,0.048090004,0.060414733,0.07141413,0.087077621,0.102132421,0.128484868,0.156518944,0.310182526
GHA,0.016488707,0.030134429,0.038892137,0.050862416,0.062334772,0.078717386,0.09574124,0.125448404,0.160974032,0.360662
GIN,0.025000289,0.041251659,0.050113542,0.062439338,0.073261633,0.088689902,0.103250836,0.12881141,0.155253547,0.300201017
GMB,0.012636504,0.024548728,0.032870708,0.044274428,0.055720255,0.07219976,0.090189768,0.121765788,0.162347639,0.399378759
GNB,0.010235132,0.020826406,0.028684478,0.039520463,0.050761342,0.067087948,0.085540668,0.118177241,0.162274773,0.429780512
