countrycode,beta1_KW,beta2_KW,flag_inputation,countrycode_inputation
ABW,0.0353324488,0.00092,1,TTO
AFG,0.0095465073,0.00092,0,
AGO,0.0273779931,0.00092,0,
ALA,-0.001528,0.00092,0,
ALB,0.0128093455,0.00092,0,
AND,0.0064651593,0.00092,0,
ARE,0.038041261,0.00092,0,
ARG,0.0193721212,0.00092,0,
ARM,0.0029481664,0.00092,0,
AUS,0.0187709776,0.00092,0,
AUT,0.0019152703,0.00092,0,
AZE,0.0107742895,0.00092,0,
BDI,0.0248891838,0.00092,0,
BEL,0.0062243056,0.00092,0,
BEN,0.0391873728,0.00092,0,
BFA,0.0409834188,0.00092,0,
BGD,0.0352124039,0.00092,0,
BGR,0.0073782898,0.00092,0,
BHR,0.0363372649,0.00092,1,QAT
BHS,0.0351521081,0.00092,0,
BIH,0.0038368209,0.00092,0,
BLR,-0.0007909523,0.00092,0,
BLZ,0.0356234581,0.00092,0,
BOL,0.0212385176,0.00092,0,
BRA,0.0283366947,0.00092,0,
BRB,0.037296,0.00092,1,VCT
BRN,0.0388194274,0.00092,0,
BTN,0.011526401,0.00092,0,
BWA,0.026744253,0.00092,0,
CAF,0.0344813447,0.00092,0,
CAN,-0.0020045353,0.00092,0,
CHE,0.0018391193,0.00092,0,
CHL,0.006848188,0.00092,0,
CHN,0.0142762529,0.00092,0,
CIV,0.037536454,0.00092,0,
CMR,0.0326162786,0.00092,0,
COD,0.0306169818,0.00092,0,
COG,0.0334659894,0.00092,0,
COK,0.0324936,0.00092,0,
COL,0.0249658361,0.00092,0,
COM,0.0339104,0.00092,0,
CPV,0.0269184,0.00092,0,
CRI,0.0290177058,0.00092,0,
CUB,0.0347601045,0.00092,0,
CYM,0.0398352,0.00092,0,
CYN,0.0229183107,0.00092,0,
CYP,0.0209918879,0.00092,0,
CZE,0.0029754076,0.00092,0,
DEU,0.0043906823,0.00092,0,
DJI,0.0395564419,0.00092,0,
DNK,0.0025091815,0.00092,0,
DOM,0.0335233538,0.00092,0,
DZA,0.0191967052,0.00092,0,
ECU,0.0230829482,0.00092,0,
EGY,0.0273990531,0.00092,0,
ERI,0.0303379538,0.00092,0,
ESH,0.0322449942,0.00092,0,
ESP,0.0145127806,0.00092,0,
EST,-0.0027349061,0.00092,0,
ETH,0.0236600181,0.00092,0,
FIN,-0.0055907394,0.00092,0,
FJI,0.0316374008,0.00092,0,
FLK,-5.84044056856914E-05,0.00092,0,
FRA,0.0080306615,0.00092,0,
GAB,0.0340737518,0.00092,0,
Gaza,0.0250968,0.00092,0,
GBR,0.0052874982,0.00092,0,
GEO,0.0080682226,0.00092,0,
GHA,0.0378349593,0.00092,0,
GIN,0.0353133648,0.00092,0,
GMB,0.0374129304,0.00092,0,
GNB,0.0381423722,0.00092,0,
GNQ,0.0331518704,0.00092,0,
GRC,0.0163398179,0.00092,0,
GRL,-0.0197980548,0.00092,0,
GTM,0.0292053685,0.00092,0,
GUF,0.0384582387,0.00092,0,
GUY,0.0373914705,0.00092,0,
HKG,0.0298256,0.00092,0,
HND,0.0324454373,0.00092,0,
HRV,0.0092164109,0.00092,0,
HTI,0.0316858723,0.00092,0,
HUN,0.0071850569,0.00092,0,
IDN,0.0339620445,0.00092,0,
IND,0.0355553091,0.00092,0,
IRL,0.0038977562,0.00092,0,
IRN,0.0159120553,0.00092,0,
IRQ,0.0292990585,0.00092,0,
ISL,-0.0092405481,0.00092,0,
ISR,0.0242480435,0.00092,0,
ITA,0.0118135981,0.00092,0,
JAM,0.0328555255,0.00092,0,
JEY,0.0086288,0.00092,0,
JOR,0.0207681939,0.00092,0,
JPN,0.0122910926,0.00092,0,
